ID	Sex
HG00096	0
HG00097	1
HG00099	1
HG00100	1
HG00101	0
HG00102	1
HG00103	0
HG00105	0
HG00106	1
HG00107	0
HG00108	0
HG00109	0
HG00110	1
HG00111	1
HG00112	0
HG00113	0
HG00114	0
HG00115	0
HG00116	0
HG00117	0
HG00118	1
HG00119	0
HG00120	1
HG00121	1
HG00122	1
HG00123	1
HG00125	1
HG00126	0
HG00127	1
HG00128	1
HG00129	0
HG00130	1
HG00131	0
HG00132	1
HG00133	1
HG00136	0
HG00137	1
HG00138	0
HG00139	0
HG00140	0
HG00141	0
HG00142	0
HG00143	0
HG00145	0
HG00146	1
HG00148	0
HG00149	0
HG00150	1
HG00151	0
HG00154	1
HG00155	0
HG00157	0
HG00158	1
HG00159	0
HG00160	0
HG00171	1
HG00173	1
HG00174	1
HG00176	1
HG00177	1
HG00178	1
HG00179	1
HG00180	1
HG00181	0
HG00182	0
HG00183	0
HG00185	0
HG00186	0
HG00187	0
HG00188	0
HG00189	0
HG00190	0
HG00231	1
HG00232	1
HG00233	1
HG00234	0
HG00235	1
HG00236	1
HG00237	1
HG00238	1
HG00239	1
HG00240	1
HG00242	0
HG00243	0
HG00244	0
HG00245	1
HG00246	0
HG00250	1
HG00251	0
HG00252	0
HG00253	1
HG00254	1
HG00255	1
HG00256	0
HG00257	1
HG00258	1
HG00259	1
HG00260	0
HG00261	1
HG00262	1
HG00263	1
HG00264	0
HG00265	0
HG00266	1
HG00267	0
HG00268	1
HG00269	1
HG00271	0
HG00272	1
HG00273	0
HG00274	1
HG00275	1
HG00276	1
HG00277	0
HG00278	0
HG00280	0
HG00281	1
HG00282	1
HG00284	0
HG00285	1
HG00288	1
HG00290	0
HG00304	1
HG00306	1
HG00308	0
HG00309	1
HG00310	0
HG00311	0
HG00313	1
HG00315	1
HG00318	1
HG00319	1
HG00320	1
HG00321	0
HG00323	1
HG00324	1
HG00325	0
HG00326	1
HG00327	1
HG00328	1
HG00329	0
HG00330	1
HG00331	1
HG00332	1
HG00334	1
HG00335	0
HG00336	0
HG00337	1
HG00338	0
HG00339	1
HG00341	0
HG00342	0
HG00343	1
HG00344	1
HG00345	0
HG00346	1
HG00349	1
HG00350	1
HG00351	0
HG00353	1
HG00355	1
HG00356	1
HG00357	1
HG00358	0
HG00360	0
HG00361	1
HG00362	1
HG00364	1
HG00365	1
HG00366	0
HG00367	1
HG00368	1
HG00369	0
HG00371	0
HG00372	0
HG00373	1
HG00375	0
HG00376	1
HG00378	1
HG00379	1
HG00380	1
HG00381	1
HG00382	0
HG00383	1
HG00384	1
HG00403	0
HG00404	1
HG00406	0
HG00407	1
HG00409	0
HG00410	1
HG00419	1
HG00421	0
HG00422	1
HG00428	1
HG00436	0
HG00437	1
HG00442	0
HG00443	1
HG00445	0
HG00446	1
HG00448	0
HG00449	1
HG00451	0
HG00452	1
HG00457	0
HG00458	1
HG00463	0
HG00464	1
HG00472	0
HG00473	1
HG00475	0
HG00476	1
