chrom	start	end	gene_symbol	gene_id	gene_biotype
chr1	65419	71585	OR4F5	ENSG00000186092	protein_coding
chr1	450740	451678	OR4F29	ENSG00000284733	protein_coding
chr1	685716	686654	OR4F16	ENSG00000284662	protein_coding
chr1	923923	944575	SAMD11	ENSG00000187634	protein_coding
chr1	944203	959309	NOC2L	ENSG00000188976	protein_coding
chr1	960584	965719	KLHL17	ENSG00000187961	protein_coding
chr1	966482	975865	PLEKHN1	ENSG00000187583	protein_coding
chr1	975204	982093	PERM1	ENSG00000187642	protein_coding
chr1	998962	1000172	HES4	ENSG00000188290	protein_coding
chr1	1001138	1014540	ISG15	ENSG00000187608	protein_coding
chr1	1020120	1056118	AGRN	ENSG00000188157	protein_coding
chr1	1070967	1074306	RNF223	ENSG00000237330	protein_coding
chr1	1081818	1116361	C1orf159	ENSG00000131591	protein_coding
chr1	1173880	1197936	TTLL10	ENSG00000162571	protein_coding
chr1	1203508	1206592	TNFRSF18	ENSG00000186891	protein_coding
chr1	1211340	1214153	TNFRSF4	ENSG00000186827	protein_coding
chr1	1216909	1232067	SDF4	ENSG00000078808	protein_coding
chr1	1232237	1235041	B3GALT6	ENSG00000176022	protein_coding
chr1	1242446	1246722	C1QTNF12	ENSG00000184163	protein_coding
chr1	1253909	1273864	UBE2J2	ENSG00000160087	protein_coding
chr1	1280436	1292029	SCNN1D	ENSG00000162572	protein_coding
chr1	1292390	1309609	ACAP3	ENSG00000131584	protein_coding
chr1	1308597	1311677	PUSL1	ENSG00000169972	protein_coding
chr1	1311585	1324687	INTS11	ENSG00000127054	protein_coding
chr1	1324756	1328896	CPTP	ENSG00000224051	protein_coding
chr1	1331280	1335314	TAS1R3	ENSG00000169962	protein_coding
chr1	1335276	1349418	DVL1	ENSG00000107404	protein_coding
chr1	1352689	1361777	MXRA8	ENSG00000162576	protein_coding
chr1	1373730	1375207	AURKAIP1	ENSG00000175756	protein_coding
chr1	1385711	1399335	CCNL2	ENSG00000221978	protein_coding
chr1	1401909	1407293	MRPL20	ENSG00000242485	protein_coding
chr1	1418420	1421769	ANKRD65	ENSG00000235098	protein_coding
chr1	1425871	1430255	TMEM88B	ENSG00000205116	protein_coding
chr1	1434861	1442882	VWA1	ENSG00000179403	protein_coding
chr1	1449689	1470163	ATAD3C	ENSG00000215915	protein_coding
chr1	1471765	1497848	ATAD3B	ENSG00000160072	protein_coding
chr1	1512162	1534685	ATAD3A	ENSG00000197785	protein_coding
chr1	1534778	1540624	TMEM240	ENSG00000205090	protein_coding
chr1	1541673	1574863	SSU72	ENSG00000160075	protein_coding
chr1	1598012	1600135	FNDC10	ENSG00000228594	protein_coding
chr1	1615454	1630605	MIB2	ENSG00000197530	protein_coding
chr1	1632163	1635263	MMP23B	ENSG00000189409	protein_coding
chr1	1635225	1659012	CDK11B	ENSG00000248333	protein_coding
chr1	1659529	1692795	SLC35E2B	ENSG00000189339	protein_coding
chr1	1702379	1724357	CDK11A	ENSG00000008128	protein_coding
chr1	1751232	1780457	NADK	ENSG00000008130	protein_coding
chr1	1785285	1891117	GNB1	ENSG00000078369	protein_coding
chr1	1915108	1917296	CALML6	ENSG00000169885	protein_coding
chr1	1917590	1919279	TMEM52	ENSG00000178821	protein_coding
chr1	1921951	2003837	CFAP74	ENSG00000142609	protein_coding
chr1	2019329	2030758	GABRD	ENSG00000187730	protein_coding
chr1	2050411	2185395	PRKCZ	ENSG00000067606	protein_coding
chr1	2184461	2212720	FAAP20	ENSG00000162585	protein_coding
chr1	2228319	2310213	SKI	ENSG00000157933	protein_coding
chr1	2321253	2391707	MORN1	ENSG00000116151	protein_coding
chr1	2391775	2405442	RER1	ENSG00000157916	protein_coding
chr1	2403964	2413797	PEX10	ENSG00000157911	protein_coding
chr1	2425980	2505532	PLCH2	ENSG00000149527	protein_coding
chr1	2508537	2526597	PANK4	ENSG00000157881	protein_coding
chr1	2528745	2530263	HES5	ENSG00000197921	protein_coding
chr1	2555639	2565382	TNFRSF14	ENSG00000157873	protein_coding
chr1	2586491	2591469	PRXL2B	ENSG00000157870	protein_coding
chr1	2590639	2633016	MMEL1	ENSG00000142606	protein_coding
chr1	2635976	2801717	TTC34	ENSG00000215912	protein_coding
chr1	3021467	3022903	ACTRT2	ENSG00000169717	protein_coding
chr1	3069168	3438621	PRDM16	ENSG00000142611	protein_coding
chr1	3454665	3481113	ARHGEF16	ENSG00000130762	protein_coding
chr1	3487951	3611508	MEGF6	ENSG00000162591	protein_coding
chr1	3625015	3630127	TPRG1L	ENSG00000158109	protein_coding
chr1	3630767	3652761	WRAP73	ENSG00000116213	protein_coding
chr1	3652516	3736201	TP73	ENSG00000078900	protein_coding
chr1	3746460	3771645	CCDC27	ENSG00000162592	protein_coding
chr1	3772749	3775982	SMIM1	ENSG00000235169	protein_coding
chr1	3778559	3796498	LRRC47	ENSG00000130764	protein_coding
chr1	3812086	3857396	CEP104	ENSG00000116198	protein_coding
chr1	3857267	3885429	DFFB	ENSG00000169598	protein_coding
chr1	3889125	3900293	C1orf174	ENSG00000198912	protein_coding
chr1	4654609	4792534	AJAP1	ENSG00000196581	protein_coding
chr1	5862811	5992473	NPHP4	ENSG00000131697	protein_coding
chr1	5990927	6101193	KCNAB2	ENSG00000069424	protein_coding
chr1	6101787	6180321	CHD5	ENSG00000116254	protein_coding
chr1	6185020	6209389	RPL22	ENSG00000116251	protein_coding
chr1	6205475	6221299	RNF207	ENSG00000158286	protein_coding
chr1	6221193	6235972	ICMT	ENSG00000116237	protein_coding
chr1	6244179	6245578	HES3	ENSG00000173673	protein_coding
chr1	6247353	6261098	GPR153	ENSG00000158292	protein_coding
chr1	6264269	6393767	ACOT7	ENSG00000097021	protein_coding
chr1	6412418	6424670	HES2	ENSG00000069812	protein_coding
chr1	6424776	6461367	ESPN	ENSG00000187017	protein_coding
chr1	6460786	6466175	TNFRSF25	ENSG00000215788	protein_coding
chr1	6467122	6520074	PLEKHG5	ENSG00000171680	protein_coding
chr1	6521347	6554513	NOL9	ENSG00000162408	protein_coding
chr1	6555307	6579755	TAS1R1	ENSG00000173662	protein_coding
chr1	6579994	6589280	ZBTB48	ENSG00000204859	protein_coding
chr1	6590724	6614607	KLHL21	ENSG00000162413	protein_coding
chr1	6613731	6624030	PHF13	ENSG00000116273	protein_coding
chr1	6624868	6635586	THAP3	ENSG00000041988	protein_coding
chr1	6634168	6701924	DNAJC11	ENSG00000007923	protein_coding
chr1	6785454	7769706	CAMTA1	ENSG00000171735	protein_coding
chr1	7771296	7781432	VAMP3	ENSG00000049245	protein_coding
chr1	7784291	7845177	PER3	ENSG00000049246	protein_coding
chr1	7843083	7853512	UTS2	ENSG00000049247	protein_coding
chr1	7915871	7943165	TNFRSF9	ENSG00000049249	protein_coding
chr1	7954291	7985505	PARK7	ENSG00000116288	protein_coding
chr1	8004404	8026309	ERRFI1	ENSG00000116285	protein_coding
chr1	8318114	8344167	SLC45A1	ENSG00000162426	protein_coding
chr1	8352397	8848921	RERE	ENSG00000142599	protein_coding
chr1	8861000	8879190	ENO1	ENSG00000074800	protein_coding
chr1	8945867	8975092	CA6	ENSG00000131686	protein_coding
chr1	9002973	9026423	SLC2A7	ENSG00000197241	protein_coding
chr1	9035106	9088478	SLC2A5	ENSG00000142583	protein_coding
chr1	9100305	9129102	GPR157	ENSG00000180758	protein_coding
chr1	9234774	9271337	H6PD	ENSG00000049239	protein_coding
chr1	9292894	9369532	SPSB1	ENSG00000171621	protein_coding
chr1	9539465	9585173	SLC25A33	ENSG00000171612	protein_coding
chr1	9588911	9614877	TMEM201	ENSG00000188807	protein_coding
chr1	9651731	9729114	PIK3CD	ENSG00000171608	protein_coding
chr1	9728926	9823984	CLSTN1	ENSG00000171603	protein_coding
chr1	9848276	9910336	CTNNBIP1	ENSG00000178585	protein_coding
chr1	9922113	9943407	LZIC	ENSG00000162441	protein_coding
chr1	9943428	9985501	NMNAT1	ENSG00000173614	protein_coding
chr1	9997206	10016021	RBP7	ENSG00000162444	protein_coding
chr1	10032832	10181239	UBE4B	ENSG00000130939	protein_coding
chr1	10210570	10381603	KIF1B	ENSG00000054523	protein_coding
chr1	10398592	10420511	PGD	ENSG00000142657	protein_coding
chr1	10430102	10452153	CENPS-CORT	ENSG00000251503	protein_coding
chr1	10430433	10442808	CENPS	ENSG00000175279	protein_coding
chr1	10450031	10451998	CORT	ENSG00000241563	protein_coding
chr1	10456522	10472529	DFFA	ENSG00000160049	protein_coding
chr1	10472288	10630758	PEX14	ENSG00000142655	protein_coding
chr1	10636604	10796650	CASZ1	ENSG00000130940	protein_coding
chr1	10946471	10982037	C1orf127	ENSG00000175262	protein_coding
chr1	11012344	11030528	TARDBP	ENSG00000120948	protein_coding
chr1	11026523	11047239	MASP2	ENSG00000009724	protein_coding
chr1	11054584	11060020	SRM	ENSG00000116649	protein_coding
chr1	11066618	11099869	EXOSC10	ENSG00000171824	protein_coding
chr1	11106535	11262551	MTOR	ENSG00000198793	protein_coding
chr1	11189355	11195981	ANGPTL7	ENSG00000171819	protein_coding
chr1	11273198	11296049	UBIAD1	ENSG00000120942	protein_coding
chr1	11479155	11537551	DISP3	ENSG00000204624	protein_coding
chr1	11637018	11655785	FBXO2	ENSG00000116661	protein_coding
chr1	11654375	11663327	FBXO44	ENSG00000132879	protein_coding
chr1	11664200	11674354	FBXO6	ENSG00000116663	protein_coding
chr1	11674480	11691650	MAD2L2	ENSG00000116670	protein_coding
chr1	11691710	11725857	DRAXIN	ENSG00000162490	protein_coding
chr1	11736084	11754802	AGTRAP	ENSG00000177674	protein_coding
chr1	11761787	11789585	C1orf167	ENSG00000215910	protein_coding
chr1	11785723	11806455	MTHFR	ENSG00000177000	protein_coding
chr1	11806096	11848079	CLCN6	ENSG00000011021	protein_coding
chr1	11845709	11848345	NPPA	ENSG00000175206	protein_coding
chr1	11857464	11858945	NPPB	ENSG00000120937	protein_coding
chr1	11919591	11926428	KIAA2013	ENSG00000116685	protein_coding
chr1	11934205	11975538	PLOD1	ENSG00000083444	protein_coding
chr1	11980181	12015211	MFN2	ENSG00000116688	protein_coding
chr1	12019466	12032045	MIIP	ENSG00000116691	protein_coding
chr1	12063303	12144207	TNFRSF8	ENSG00000120949	protein_coding
chr1	12166991	12209228	TNFRSF1B	ENSG00000028137	protein_coding
chr1	12230030	12512047	VPS13D	ENSG00000048707	protein_coding
chr1	12567910	12618210	DHRS3	ENSG00000162496	protein_coding
chr1	12644085	12667076	AADACL4	ENSG00000204518	protein_coding
chr1	12716110	12728760	AADACL3	ENSG00000188984	protein_coding
chr1	12746200	12763699	C1orf158	ENSG00000157330	protein_coding
chr1	12773738	12777906	PRAMEF12	ENSG00000116726	protein_coding
chr1	12791397	12796628	PRAMEF1	ENSG00000116721	protein_coding
chr1	12824605	12831410	PRAMEF11	ENSG00000239810	protein_coding
chr1	12847377	12848720	HNRNPCL1	ENSG00000179172	protein_coding
chr1	12857086	12861909	PRAMEF2	ENSG00000120952	protein_coding
chr1	12879212	12886201	PRAMEF4	ENSG00000243073	protein_coding
chr1	12892896	12898270	PRAMEF10	ENSG00000187545	protein_coding
chr1	12916610	12920482	PRAMEF7	ENSG00000204510	protein_coding
chr1	12938472	12947580	PRAMEF6	ENSG00000232423	protein_coding
chr1	13049476	13056575	PRAMEF27	ENSG00000274764	protein_coding
chr1	13060769	13062878	HNRNPCL3	ENSG00000277058	protein_coding
chr1	13068677	13077884	PRAMEF25	ENSG00000229571	protein_coding
chr1	13115488	13116854	HNRNPCL2	ENSG00000275774	protein_coding
chr1	13148907	13156009	PRAMEF26	ENSG00000280267	protein_coding
chr1	13163914	13165631	HNRNPCL4	ENSG00000179412	protein_coding
chr1	13171848	13179459	PRAMEF9	ENSG00000204505	protein_coding
chr1	13196188	13201409	PRAMEF13	ENSG00000279169	protein_coding
chr1	13222705	13226106	PRAMEF18	ENSG00000279804	protein_coding
chr1	13254212	13263314	PRAMEF5	ENSG00000270601	protein_coding
chr1	13281035	13285174	PRAMEF8	ENSG00000182330	protein_coding
chr1	13303539	13308907	PRAMEF33	ENSG00000237700	protein_coding
chr1	13315581	13322598	PRAMEF15	ENSG00000204501	protein_coding
chr1	13341892	13347134	PRAMEF14	ENSG00000204481	protein_coding
chr1	13369067	13371900	PRAMEF19	ENSG00000204480	protein_coding
chr1	13389632	13392629	PRAMEF17	ENSG00000204479	protein_coding
chr1	13416351	13421328	PRAMEF20	ENSG00000204478	protein_coding
chr1	13474973	13514003	LRRC38	ENSG00000162494	protein_coding
chr1	13583465	13617957	PDPN	ENSG00000162493	protein_coding
chr1	13700188	13825079	PRDM2	ENSG00000116731	protein_coding
chr1	13892792	15118043	KAZN	ENSG00000189337	protein_coding
chr1	15152532	15220478	TMEM51	ENSG00000171729	protein_coding
chr1	15236521	15400283	FHAD1	ENSG00000142621	protein_coding
chr1	15409888	15430339	EFHD2	ENSG00000142634	protein_coding
chr1	15438442	15449242	CTRC	ENSG00000162438	protein_coding
chr1	15456728	15472091	CELA2A	ENSG00000142615	protein_coding
chr1	15465909	15491395	CELA2B	ENSG00000215704	protein_coding
chr1	15490832	15526534	CASP9	ENSG00000132906	protein_coding
chr1	15526813	15592379	DNAJC16	ENSG00000116138	protein_coding
chr1	15571699	15585051	AGMAT	ENSG00000116771	protein_coding
chr1	15617458	15669044	DDI2	ENSG00000197312	protein_coding
chr1	15659713	15662033	RSC1A1	ENSG00000215695	protein_coding
chr1	15684320	15734769	PLEKHM2	ENSG00000116786	protein_coding
