chrom	start	end	gene_symbol	gene_id	gene_biotype
chr1	1211340	1214153	TNFRSF4	ENSG00000186827	protein_coding
chr1	1203508	1206592	TNFRSF18	ENSG00000186891	protein_coding
chr1	1471765	1497848	ATAD3B	ENSG00000160072	protein_coding
chr1	629062	629433	MTND1P23	ENSG00000225972	unprocessed_pseudogene
chr1	8786211	8786913	RPL7P7	ENSG00000224315	processed_pseudogene
chr1	634376	634922	MTCO3P12	ENSG00000198744	unprocessed_pseudogene
chr1	182696	184174	DDX11L17	ENSG00000279928	unprocessed_pseudogene
chr1	3069168	3438621	PRDM16	ENSG00000142611	protein_coding
chr1	629640	630683	MTND2P28	ENSG00000225630	unprocessed_pseudogene
chr1	1292390	1309609	ACAP3	ENSG00000131584	protein_coding
chr1	3658938	3668772	TP73-AS3	ENSG00000227589	lncRNA
chr1	7368942	7370270	CAMTA1-IT1	ENSG00000237402	lncRNA
chr1	1308597	1311677	PUSL1	ENSG00000169972	protein_coding
chr1	2403964	2413797	PEX10	ENSG00000157911	protein_coding
chr1	631074	632616	MTCO1P12	ENSG00000237973	unprocessed_pseudogene
chr1	1324756	1328896	CPTP	ENSG00000224051	protein_coding
chr1	2228319	2310213	SKI	ENSG00000157933	protein_coding
chr1	3487951	3611508	MEGF6	ENSG00000162591	protein_coding
chr1	1331280	1335314	TAS1R3	ENSG00000169962	protein_coding
chr1	487101	489906	CICP7	ENSG00000233653	processed_pseudogene
chr1	674842	675265	WBP1LP6	ENSG00000268663	processed_pseudogene
chr1	3944547	3949024	LINC01345	ENSG00000226374	lncRNA
chr1	8004404	8026309	ERRFI1	ENSG00000116285	protein_coding
chr1	4175528	4175899	EEF1DP6	ENSG00000229280	processed_pseudogene
chr1	10472288	10630758	PEX14	ENSG00000142655	protein_coding
chr1	4571481	4594016	LINC01646	ENSG00000232596	lncRNA
chr1	4412027	4424689	LINC01777	ENSG00000235054	lncRNA
chr1	633535	633741	MTATP8P1	ENSG00000240409	unprocessed_pseudogene
chr1	632757	633438	MTCO2P12	ENSG00000229344	unprocessed_pseudogene
chr1	5086459	5090899	LINC02782	ENSG00000231510	lncRNA
chr1	2425980	2505532	PLCH2	ENSG00000149527	protein_coding
chr1	9292894	9369532	SPSB1	ENSG00000171621	protein_coding
chr1	347982	348366	RPL23AP24	ENSG00000236679	processed_pseudogene
chr1	9922113	9943407	LZIC	ENSG00000162441	protein_coding
chr1	9780822	9781240	MZT1P1	ENSG00000271264	processed_pseudogene
chr1	6244179	6245578	HES3	ENSG00000173673	protein_coding
chr1	3735511	3747373	TP73-AS1	ENSG00000227372	transcribed_unitary_pseudogene
chr1	9035106	9088478	SLC2A5	ENSG00000142583	protein_coding
chr1	1378666	1379032	NDUFB4P8	ENSG00000223663	processed_pseudogene
chr1	4973381	4981568	LINC02781	ENSG00000284674	lncRNA
chr1	11425257	11425821	MTCYBP45	ENSG00000224338	processed_pseudogene
chr1	8861000	8879190	ENO1	ENSG00000074800	protein_coding
chr1	15684320	15734769	PLEKHM2	ENSG00000116786	protein_coding
chr1	1232237	1235041	B3GALT6	ENSG00000176022	protein_coding
chr1	12567910	12618210	DHRS3	ENSG00000162496	protein_coding
chr1	8945867	8975092	CA6	ENSG00000131686	protein_coding
chr1	16369150	16369530	RPL22P3	ENSG00000226457	processed_pseudogene
chr1	13474973	13514003	LRRC38	ENSG00000162494	protein_coding
chr1	9943428	9985501	NMNAT1	ENSG00000173614	protein_coding
chr1	633696	634376	MTATP6P1	ENSG00000248527	unprocessed_pseudogene
chr1	7382487	7389754	CAMTA1-AS2	ENSG00000237728	lncRNA
chr1	15191828	15192845	MFFP1	ENSG00000215720	processed_pseudogene
chr1	13222705	13226106	PRAMEF18	ENSG00000279804	protein_coding
chr1	10058671	10059648	PGAM1P11	ENSG00000233623	processed_pseudogene
chr1	3746460	3771645	CCDC27	ENSG00000162592	protein_coding
chr1	6101787	6180321	CHD5	ENSG00000116254	protein_coding
chr1	7771296	7781432	VAMP3	ENSG00000049245	protein_coding
chr1	15834474	15848147	FLJ37453	ENSG00000179743	lncRNA
